nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
La Garde,26476,Var,Provence-Alpes-Côte d'Azur,43.124,6.01
Élancourt,26365,Yvelines,Île-de-France,48.768,1.949
Saumur,26241,Maine-et-Loire,Pays de la Loire,47.26,-0.076
Vertou,26227,Loire-Atlantique,Pays de la Loire,47.168,-1.473
Aurillac,26214,Cantal,Auvergne-Rhône-Alpes,44.93,2.446
Eaubonne,26211,Val-d'Oise,Île-de-France,48.991,2.28
Biarritz,26206,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.483,-1.558
Miramas,26203,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.58,5.001
Muret,26079,Haute-Garonne,Occitanie,43.462,1.331
Castelnau-le-Lez,26058,Hérault,Occitanie,43.633,3.898
Villeneuve-la-Garenne,26021,Hauts-de-Seine,Île-de-France,48.936,2.333
Les Ulis,25886,Essonne,Île-de-France,48.681,2.17
Les Pavillons-sous-Bois,25804,Seine-Saint-Denis,Île-de-France,48.903,2.507
Sèvremoine,25797,Maine-et-Loire,Pays de la Loire,47.124,-0.994
Le Grand-Quevilly,25789,Seine-Maritime,Normandie,49.407,1.052
Lormont,25769,Gironde,Nouvelle-Aquitaine,44.88,-0.523
Hénin-Beaumont,25688,Pas-de-Calais,Hauts-de-France,50.419,2.947
Brunoy,25643,Essonne,Île-de-France,48.698,2.504
Cavaillon,25636,Vaucluse,Provence-Alpes-Côte d'Azur,43.836,5.038
Saint-Ouen-l'Aumône,25578,Val-d'Oise,Île-de-France,49.044,2.106
Sainte-Suzanne,25551,La Réunion,La Réunion,-20.906,55.608
Alençon,25490,Orne,Normandie,48.43,0.082
Saintes,25363,Charente-Maritime,Nouvelle-Aquitaine,45.744,-0.634
Vernon,25290,Eure,Normandie,49.093,1.486
Béthune,25224,Pas-de-Calais,Hauts-de-France,50.531,2.639
Vichy,25115,Allier,Auvergne-Rhône-Alpes,46.124,3.428
Le Bouscat,25081,Gironde,Nouvelle-Aquitaine,44.865,-0.6
Vierzon,25068,Cher,Centre-Val de Loire,47.221,2.07
Libourne,25036,Gironde,Nouvelle-Aquitaine,44.914,-0.245
Eysines,24825,Gironde,Nouvelle-Aquitaine,44.886,-0.649
Kourou,24824,Guyane,Guyane,5.158,-52.643
Montbéliard,24672,Doubs,Bourgogne-Franche-Comté,47.51,6.798
Petit-Bourg,24665,Guadeloupe,Guadeloupe,16.192,-61.59
Orly,24658,Val-de-Marne,Île-de-France,48.743,2.401
Laon,24220,Aisne,Hauts-de-France,49.565,3.621
Frontignan,24136,Hérault,Occitanie,43.446,3.756
Le Kremlin-Bicêtre,24110,Val-de-Marne,Île-de-France,48.812,2.357
Couëron,24103,Loire-Atlantique,Pays de la Loire,47.212,-1.728
Fontenay-aux-Roses,24070,Hauts-de-Seine,Île-de-France,48.791,2.286
Montgeron,24022,Essonne,Île-de-France,48.704,2.461
Beaupréau-en-Mauges,23989,Maine-et-Loire,Pays de la Loire,47.209,-0.982
Rodez,23981,Aveyron,Occitanie,44.349,2.576
Sainte-Anne,23973,Guadeloupe,Guadeloupe,16.226,-61.386
Les Lilas,23843,Seine-Saint-Denis,Île-de-France,48.879,2.416
Dole,23840,Jura,Bourgogne-Franche-Comté,47.091,5.489
La Valette-du-Var,23719,Var,Provence-Alpes-Côte d'Azur,43.138,5.984
Dammarie-les-Lys,23559,Seine-et-Marne,Île-de-France,48.515,2.635
Olivet,23507,Loiret,Centre-Val de Loire,47.865,1.897
Hérouville-Saint-Clair,23470,Calvados,Normandie,49.204,-0.334
Rochefort,23460,Charente-Maritime,Nouvelle-Aquitaine,45.937,-0.962
Combs-la-Ville,23350,Seine-et-Marne,Île-de-France,48.665,2.565
Lanester,23263,Morbihan,Bretagne,47.764,-3.347
Roissy-en-Brie,23229,Seine-et-Marne,Île-de-France,48.791,2.654
Tassin-la-Demi-Lune,23200,Rhône,Auvergne-Rhône-Alpes,45.761,4.777
Saint-Jean-de-Braye,23147,Loiret,Centre-Val de Loire,47.912,1.971
Deuil-la-Barre,23099,Val-d'Oise,Île-de-France,48.975,2.328
Maisons-Laffitte,23093,Yvelines,Île-de-France,48.946,2.145
Le Moule,23014,Guadeloupe,Guadeloupe,16.331,-61.344
Vélizy-Villacoublay,23011,Yvelines,Île-de-France,48.783,2.191
Challans,22943,Vendée,Pays de la Loire,46.845,-1.879
Saint-Dizier,22858,Haute-Marne,Grand Est,48.638,4.948
Torcy,22810,Seine-et-Marne,Île-de-France,48.849,2.652
Saint-Louis,22805,Haut-Rhin,Grand Est,47.586,7.561
Manosque,22718,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,43.834,5.782
Loos,22567,Nord,Hauts-de-France,50.615,3.015
Gif-sur-Yvette,22544,Essonne,Île-de-France,48.702,2.134
Les Pennes-Mirabeau,22537,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.4,5.34
Oyonnax,22480,Ain,Auvergne-Rhône-Alpes,46.258,5.656
Montigny-lès-Cormeilles,22457,Val-d'Oise,Île-de-France,48.988,2.188
Auch,22428,Gers,Occitanie,43.647,0.583
Abbeville,22395,Somme,Hauts-de-France,50.106,1.834
Villeneuve-sur-Lot,22350,Lot-et-Garonne,Nouvelle-Aquitaine,44.41,0.706
Mantes-la-Ville,22332,Yvelines,Île-de-France,48.978,1.714
